duckdb	10b	590542
duckdb	10c	5830057
duckdb	11a	491642
duckdb	11b	475729
duckdb	11c	149279
duckdb	11d	2701680
duckdb	12a	1999566
duckdb	12b	2432126
duckdb	12c	2212995
duckdb	13a	5603531
duckdb	13b	4744694
duckdb	13c	4743226
duckdb	13d	7720343
duckdb	14a	1758042
duckdb	14b	615154
duckdb	14c	6398241
duckdb	15a	4896909
duckdb	15b	4571765
duckdb	15c	19337828
duckdb	15d	19355800
duckdb	16a	37339189
duckdb	16b	80633864
duckdb	16c	39707875
duckdb	16d	38940631
duckdb	17a	42980758
duckdb	17b	40005688
duckdb	17c	39699090
duckdb	17d	39744500
duckdb	17e	78681335
duckdb	17f	45655474
duckdb	18a	29247959
duckdb	18b	115284
duckdb	18c	2489113
duckdb	19a	1722038
duckdb	19b	855300
duckdb	19c	3503353
duckdb	19d	50371652
duckdb	20a	36979445
duckdb	20b	488132
duckdb	20c	37349287
duckdb	21a	493052
duckdb	21b	489509
duckdb	21c	506408
duckdb	22a	2094731
duckdb	22b	1960004
duckdb	22c	2703449
duckdb	22d	5101827
duckdb	23a	7899779
duckdb	23b	2616234
duckdb	23c	9282799
duckdb	24a	7171966
duckdb	24b	1079161
duckdb	25a	16652131
duckdb	25b	559108
duckdb	25c	23274098
duckdb	26a	1859331
duckdb	26b	1663713
duckdb	26c	2249333
duckdb	27a	724856
duckdb	27b	724234
duckdb	27c	651520
duckdb	28a	2940888
duckdb	28b	1796339
duckdb	28c	2728754
duckdb	29a	7332634
duckdb	29b	6345263
duckdb	29c	8462456
duckdb	30a	1356467
duckdb	30b	1350701
duckdb	30c	1454762
duckdb	31a	1634947
duckdb	31b	1167817
duckdb	31c	2438349
duckdb	32a	636378
duckdb	32b	640766
duckdb	33a	4359554
duckdb	33b	3250409
duckdb	33c	6827215
sqlserver	01a	91030
sqlserver	01b	81
sqlserver	01c	54895
sqlserver	01d	95
sqlserver	02a	206060
sqlserver	02b	200848
sqlserver	02c	190392
sqlserver	02d	327024
sqlserver	03a	14923
sqlserver	03b	1152
sqlserver	03c	28075
sqlserver	04a	27944
sqlserver	04b	13284
sqlserver	04c	40342
sqlserver	05a	2694
sqlserver	05b	0
sqlserver	05c	2237
sqlserver	06a	1255
sqlserver	06b	35979
sqlserver	06c	51
sqlserver	06d	835278
sqlserver	06e	1255
sqlserver	06f	1620667
sqlserver	07a	3869
sqlserver	07b	450
sqlserver	07c	5734813
sqlserver	08a	50079
sqlserver	08b	3997
sqlserver	08c	13171637
sqlserver	08d	1935593
sqlserver	09a	567925
sqlserver	09b	302228
sqlserver	09c	1333143
sqlserver	09d	1794702
sqlserver	10a	115111
sqlserver	10b	23006
sqlserver	10c	4468108
sqlserver	11a	13149
sqlserver	11b	10963
sqlserver	11c	86671
sqlserver	11d	82426
sqlserver	12a	289971
sqlserver	12b	3035
sqlserver	12c	464151
sqlserver	13a	16906325
sqlserver	13b	9354
sqlserver	13c	1585
sqlserver	13d	20321237
sqlserver	14a	101291
sqlserver	14b	49818
sqlserver	14c	123915
sqlserver	15a	8321
sqlserver	15b	3427
sqlserver	15c	11512
sqlserver	15d	105262
sqlserver	16a	191266
sqlserver	16b	9658032
sqlserver	16c	686583
sqlserver	16d	637796
sqlserver	17a	3366706
sqlserver	17b	8287541
sqlserver	17c	8284568
sqlserver	17d	8327797
sqlserver	17e	5948125
sqlserver	17f	9992296
sqlserver	18a	456747
sqlserver	18b	77528
sqlserver	18c	781639
sqlserver	19a	1162003
sqlserver	19b	136336
sqlserver	19c	1490496
sqlserver	19d	11986693
sqlserver	20a	603416
sqlserver	20b	283056
sqlserver	20c	248803
sqlserver	21a	32078
sqlserver	21b	32512
sqlserver	21c	18155
sqlserver	22a	699460
sqlserver	22b	690258
sqlserver	22c	539207
sqlserver	22d	336912
sqlserver	23a	3095
sqlserver	23b	5034
sqlserver	23c	3120
sqlserver	24a	797919
sqlserver	24b	1354
sqlserver	25a	135424
sqlserver	25b	86966
sqlserver	25c	420621
sqlserver	26a	335699
sqlserver	26b	32032
sqlserver	26c	629995
sqlserver	27a	38275
sqlserver	27b	30993
sqlserver	27c	16706
sqlserver	28a	1600896
sqlserver	28b	97539
sqlserver	28c	2097806
sqlserver	29a	5672
sqlserver	29b	3090
sqlserver	29c	12182304
sqlserver	30a	147516
sqlserver	30b	85942
sqlserver	30c	635823
sqlserver	31a	555598
sqlserver	31b	84693
sqlserver	31c	1068140
sqlserver	32a	1
sqlserver	32b	59392
sqlserver	33a	6488
sqlserver	33b	5306
sqlserver	33c	5705
